Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
hey 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1254 052 007 100 078 034
2154 090 036 090 077 030
3154 100 045 020 090 070
4552 011 017 081 032 077
5658 020 012 045 078 034
6154 034 080 055 078 045
7854 060 100 056 078 078
8056 070 010 066 078 056
9853 034 009 077 078 020
1957 045 040 088 078 055
2857 055 050 099 078 080
3159 022 070 100 078 077
4652 089 050 091 078 060
5455 011 011 000 078 010
6959 000 098 089 078 020
5668 020 012 045 078 034
6164 034 080 055 078 045
7864 060 100 056 078 078
8066 070 010 066 078 056
9863 034 009 077 078 020
1967 045 040 088 078 055
2867 055 050 099 078 080
3169 022 070 100 078 077
4662 089 050 091 078 060
5465 011 011 000 078 010
